order	cond	time	button	rt	correct	block	counterbalance
1	2	85540	2	481	1	1	2
2	0	92024	2	283	1	1	2
3	1	98307	1	269	1	1	2
4	1	103390	1	447	1	1	2
5	1	110324	1	311	1	1	2
6	0	116640	2	455	1	1	2
7	1	123107	1	273	1	1	2
8	1	129390	1	307	1	1	2
9	1	135707	1	259	1	1	2
10	0	141974	2	390	1	1	2
11	1	148374	1	307	1	1	2
12	1	154691	1	275	1	1	2
13	2	160974	2	389	1	1	2
14	2	167374	2	306	1	1	2
15	1	173691	1	242	1	1	2
16	1	179941	1	325	1	1	2
17	0	186274	2	309	1	1	2
18	1	192591	1	277	1	1	2
19	1	198874	1	375	1	1	2
20	0	205257	2	309	1	1	2
21	1	211574	1	293	1	1	2
22	1	217874	1	358	1	1	2
23	0	224241	2	309	1	1	2
24	1	230558	1	405	1	1	2
25	1	236974	1	306	1	1	2
26	2	243291	2	434	1	1	2
27	2	249724	1	318	0	1	2
28	0	258024	2	285	1	1	2
29	0	264308	2	303	1	1	2
30	2	270624	2	351	1	1	2
31	0	276974	2	319	1	1	2
32	0	283291	2	463	1	1	2
33	1	289758	1	281	1	1	2
34	2	296041	2	267	1	1	2
35	1	302308	1	349	1	1	2
36	1	308658	1	316	1	1	2
37	1	314974	1	493	1	1	2
38	2	321474	2	469	1	1	2
39	1	327958	1	335	1	1	2
40	0	334291	2	447	1	1	2
41	2	364525	2	311	1	1	2
42	1	370841	1	312	1	1	2
43	2	377158	2	296	1	1	2
44	1	383458	1	521	1	1	2
45	0	389991	2	305	1	1	2
46	0	396308	2	353	1	1	2
47	0	402675	2	351	1	1	2
48	1	409025	1	431	1	1	2
49	1	415458	1	330	1	1	2
50	0	421792	2	298	1	1	2
51	1	428092	1	299	1	1	2
52	2	434392	2	316	1	1	2
53	0	440708	2	476	1	1	2
54	1	447192	1	326	1	1	2
55	1	453525	1	789	1	1	2
56	1	460325	1	546	1	1	2
57	2	466875	2	377	1	1	2
58	0	473258	2	359	1	1	2
59	1	479625	2	293	0	1	2
60	1	487908	2	358	0	1	2
61	1	496258	1	548	1	1	2
62	1	502808	1	299	1	1	2
63	2	509108	2	316	1	1	2
64	1	515425	1	285	1	1	2
65	0	521709	2	270	1	1	2
66	1	527992	1	320	1	1	2
67	2	534325	2	320	1	1	2
68	0	540659	2	655	1	1	2
69	0	547325	2	337	1	1	2
70	2	553675	2	337	1	1	2
71	0	560025	2	544	1	1	2
72	1	566575	2	311	0	1	2
73	1	574875	1	295	1	1	2
74	1	581175	1	328	1	1	2
75	2	587509	2	359	1	1	2
76	1	593875	1	278	1	1	2
77	0	600159	2	487	1	1	2
78	1	606659	1	385	1	1	2
79	0	613059	2	301	1	1	2
80	0	619376	2	510	1	1	2
81	0	650642	2	316	1	1	2
82	1	656959	2	253	0	1	2
83	1	665209	1	335	1	1	2
84	1	671559	1	286	1	1	2
85	0	677859	2	319	1	1	2
86	1	684192	1	351	1	1	2
87	1	690542	1	302	1	1	2
88	2	696859	1	382	0	1	2
89	0	705226	2	299	1	1	2
90	2	711526	2	301	1	1	2
91	1	717826	2	318	0	1	2
92	1	726143	1	285	1	1	2
93	1	732443	1	462	1	1	2
94	1	738909	1	408	1	1	2
95	1	745326	1	341	1	1	2
96	0	751676	4	564	2	1	2
97	2	760226	2	346	1	1	2
98	1	766576	1	377	1	1	2
99	1	772959	1	438	1	1	2
100	2	779409	2	577	1	1	2
101	1	785993	1	343	1	1	2
102	0	792343	2	294	1	1	2
103	1	798643	1	247	1	1	2
104	2	804893	2	298	1	1	2
105	1	811193	1	267	1	1	2
106	1	817460	1	302	1	1	2
107	2	823776	2	270	1	1	2
108	1	830060	1	240	1	1	2
109	1	836310	1	419	1	1	2
110	0	842743	2	318	1	1	2
111	1	849076	1	350	1	1	2
112	1	855426	1	413	1	1	2
113	0	861843	2	313	1	1	2
114	1	868160	1	266	1	1	2
115	1	874426	1	284	1	1	2
116	1	880726	1	333	1	1	2
117	2	887060	2	348	1	1	2
118	2	893410	2	412	1	1	2
119	2	899826	2	296	1	1	2
120	2	906126	2	297	1	1	2
121	2	935677	2	285	1	1	2
122	1	941977	1	238	1	1	2
123	1	948227	1	337	1	1	2
124	2	954577	2	288	1	1	2
125	1	960877	1	401	1	1	2
126	1	967293	1	253	1	1	2
127	1	973560	1	288	1	1	2
128	0	979860	3	704	2	1	2
129	2	988560	2	337	1	1	2
130	1	994910	3	432	2	1	2
131	1	1003327	1	475	1	1	2
132	1	1009810	1	341	1	1	2
133	1	1016160	1	276	1	1	2
134	2	1022444	2	326	1	1	2
135	0	1028777	2	293	1	1	2
136	1	1035077	2	295	0	1	2
137	2	1043360	2	231	1	1	2
138	1	1049594	1	267	1	1	2
139	2	1055877	2	333	1	1	2
140	0	1062210	2	316	1	1	2
141	2	1068544	2	284	1	1	2
142	1	1074844	1	317	1	1	2
143	2	1081177	2	301	1	1	2
144	2	1087494	2	397	1	1	2
145	1	1093894	1	330	1	1	2
146	2	1100227	2	314	1	1	2
147	1	1106544	1	522	1	1	2
148	2	1113077	2	290	1	1	2
149	2	1119377	2	291	1	1	2
150	1	1125677	1	260	1	1	2
151	2	1131944	2	342	1	1	2
152	0	1138294	2	325	1	1	2
153	0	1144644	2	468	1	1	2
154	1	1151161	1	348	1	1	2
155	0	1157544	2	298	1	1	2
156	0	1163877	2	250	1	1	2
157	0	1170177	2	267	1	1	2
158	1	1176494	1	252	1	1	2
159	0	1182794	2	253	1	1	2
160	2	1189094	2	286	1	1	2
