order	cond	time	button	rt	correct	block	counterbalance
1	2	14841	2	384	1	2	1
2	0	21224	2	541	1	2	1
3	1	27774	1	291	1	2	1
4	2	34074	2	323	1	2	1
5	1	40407	1	514	1	2	1
6	2	46924	1	425	0	2	1
7	1	55341	1	483	1	2	1
8	0	61824	2	364	1	2	1
9	2	68191	2	265	1	2	1
10	0	74457	2	314	1	2	1
11	1	80774	1	442	1	2	1
12	0	87224	2	340	1	2	1
13	0	93574	2	290	1	2	1
14	1	99874	1	354	1	2	1
15	0	106241	2	383	1	2	1
16	0	112624	2	332	1	2	1
17	1	118958	1	299	1	2	1
18	0	125258	2	427	1	2	1
19	1	131691	2	262	0	2	1
20	2	139941	2	470	1	2	1
21	1	146424	1	287	1	2	1
22	1	152724	1	287	1	2	1
23	1	159024	1	288	1	2	1
24	1	165324	1	304	1	2	1
25	1	171641	1	431	1	2	1
26	1	178074	1	234	1	2	1
27	0	184308	2	285	1	2	1
28	1	190591	1	46	1	2	1
29	1	196641	1	264	1	2	1
30	1	202908	1	489	1	2	1
31	0	209408	2	257	1	2	1
32	1	215675	1	227	1	2	1
33	1	221908	1	262	1	2	1
34	2	228175	2	311	1	2	1
35	0	234491	2	279	1	2	1
36	2	240775	2	247	1	2	1
37	2	247025	2	250	1	2	1
38	1	253275	1	379	1	2	1
39	0	259658	2	296	1	2	1
40	0	265958	2	328	1	2	1
41	2	281875	2	338	1	2	1
42	2	288225	2	224	1	2	1
43	0	294458	2	259	1	2	1
44	1	300725	1	309	1	2	1
45	1	307041	1	516	1	2	1
46	0	313558	2	315	1	2	1
47	2	319875	2	506	1	2	1
48	0	326392	2	274	1	2	1
49	0	332675	2	786	1	2	1
50	0	339475	2	318	1	2	1
51	1	345792	1	349	1	2	1
52	1	352142	1	684	1	2	1
53	0	358825	2	364	1	2	1
54	0	365192	2	378	1	2	1
55	0	371575	2	342	1	2	1
56	1	377925	2	373	0	2	1
57	1	386292	1	288	1	2	1
58	1	392592	1	241	1	2	1
59	2	398842	2	291	1	2	1
60	1	405142	1	339	1	2	1
61	0	411492	2	321	1	2	1
62	0	417825	2	400	1	2	1
63	2	424225	2	300	1	2	1
64	0	430525	2	252	1	2	1
65	1	436775	1	270	1	2	1
66	1	443059	1	399	1	2	1
67	1	449459	1	346	1	2	1
68	0	455809	2	313	1	2	1
69	0	462125	2	280	1	2	1
70	2	468409	2	313	1	2	1
71	1	474725	1	360	1	2	1
72	1	481092	1	326	1	2	1
73	2	487425	2	356	1	2	1
74	0	493792	2	418	1	2	1
75	1	500209	1	317	1	2	1
76	2	506525	2	284	1	2	1
77	1	512809	1	301	1	2	1
78	1	519109	1	317	1	2	1
79	1	525426	1	365	1	2	1
80	0	531792	2	330	1	2	1
81	1	547976	2	297	0	2	1
82	0	556259	2	248	1	2	1
83	2	562509	1	283	0	2	1
84	2	570776	2	587	1	2	1
85	1	577376	1	239	1	2	1
86	2	583626	2	161	1	2	1
87	1	589792	1	230	1	2	1
88	1	596026	1	377	1	2	1
89	2	602409	2	470	1	2	1
90	2	608892	2	398	1	2	1
91	1	615293	1	650	1	2	1
92	2	621943	2	236	1	2	1
93	1	628193	1	590	1	2	1
94	1	634793	1	450	1	2	1
95	1	641243	1	397	1	2	1
96	1	647643	1	360	1	2	1
97	0	654009	2	294	1	2	1
98	1	660309	1	757	1	2	1
99	2	667076	2	275	1	2	1
100	2	673359	2	260	1	2	1
101	2	679626	2	262	1	2	1
102	1	685893	1	423	1	2	1
103	1	692326	1	338	1	2	1
104	2	697493	2	640	1	2	1
105	1	704626	1	270	1	2	1
106	2	710909	2	255	1	2	1
107	1	717176	1	304	1	2	1
108	0	723493	2	592	1	2	1
109	1	730093	1	292	1	2	1
110	1	736393	1	292	1	2	1
111	2	742693	2	468	1	2	1
112	2	749160	2	222	1	2	1
113	2	755393	2	368	1	2	1
114	2	761776	2	349	1	2	1
115	2	768126	2	315	1	2	1
116	0	774443	2	314	1	2	1
117	1	780760	1	521	1	2	1
118	0	787293	2	273	1	2	1
119	0	793576	2	257	1	2	1
120	1	799843	1	339	1	2	1
121	1	814543	1	61	1	2	1
122	2	820610	2	263	1	2	1
123	1	826877	1	312	1	2	1
124	1	833193	1	296	1	2	1
125	1	839493	1	248	1	2	1
126	1	845743	1	298	1	2	1
127	0	852043	2	314	1	2	1
128	1	858360	1	330	1	2	1
129	1	864693	1	297	1	2	1
130	1	870993	1	280	1	2	1
131	1	877277	1	266	1	2	1
132	1	883543	1	267	1	2	1
133	1	889810	1	284	1	2	1
134	2	896110	2	284	1	2	1
135	2	902393	2	253	1	2	1
136	0	908660	2	270	1	2	1
137	1	914943	2	335	0	2	1
138	0	923277	2	253	1	2	1
139	1	929544	1	270	1	2	1
140	1	935827	1	255	1	2	1
141	1	942094	1	257	1	2	1
142	0	948360	2	258	1	2	1
143	0	954627	2	228	1	2	1
144	1	960860	1	246	1	2	1
145	1	967110	2	345	0	2	1
146	0	975444	2	262	1	2	1
147	2	981710	2	280	1	2	1
148	1	987994	1	328	1	2	1
149	2	994327	2	263	1	2	1
150	1	1000594	1	264	1	2	1
151	1	1006860	1	314	1	2	1
152	1	1013177	1	249	1	2	1
153	1	1019427	2	252	0	2	1
154	1	1027677	1	284	1	2	1
155	2	1033977	2	381	1	2	1
156	2	1040361	2	297	1	2	1
157	1	1046661	1	281	1	2	1
158	1	1052944	2	330	0	2	1
159	1	1061261	1	297	1	2	1
160	2	1067561	2	232	1	2	1
