order	cond	time	button	rt	correct	block	counterbalance
1	1	17820	2	922	1	2	2
2	0	24753	2	848	1	2	2
3	2	31603	1	555	1	2	2
4	1	38170	2	624	1	2	2
5	2	44803	1	531	1	2	2
6	2	51337	1	410	1	2	2
7	2	57753	2	950	0	2	2
8	1	66687	2	731	1	2	2
9	2	73420	1	617	1	2	2
10	1	80037	1	573	0	2	2
11	2	88604	1	785	1	2	2
12	0	95387	2	654	1	2	2
13	2	102054	2	815	0	2	2
14	1	110854	2	395	1	2	2
15	0	117254	2	791	1	2	2
16	1	124054	2	451	1	2	2
17	2	130504	1	205	1	2	2
18	2	136720	1	833	1	2	2
19	0	143554	2	491	1	2	2
20	2	150054	1	596	1	2	2
21	2	156654	1	456	1	2	2
22	2	163120	1	706	1	2	2
23	0	169837	2	2032	1	2	2
24	2	177871	1	939	1	2	2
25	0	184821	2	545	1	2	2
26	1	191371	2	631	1	2	2
27	2	198004	1	586	1	2	2
28	0	204587	2	607	1	2	2
29	0	211204	2	786	1	2	2
30	0	217987	2	863	1	2	2
31	2	224854	1	552	1	2	2
32	1	231404	2	814	1	2	2
33	2	238221	1	522	1	2	2
34	0	244754	2	721	1	2	2
35	2	250304	1	112	1	2	2
36	2	256904	1	532	1	2	2
37	1	263438	2	1195	1	2	2
38	2	270638	1	614	1	2	2
39	1	277254	2	538	1	2	2
40	2	283804	1	560	1	2	2
41	2	314271	1	2011	1	2	2
42	2	322288	1	694	1	2	2
43	1	328988	2	662	1	2	2
44	1	335654	2	1048	1	2	2
45	1	341521	2	794	1	2	2
46	2	348805	1	834	1	2	2
47	1	355638	2	669	1	2	2
48	2	362321	1	654	1	2	2
49	0	368988	2	783	1	2	2
50	2	375771	2	428	0	2	2
51	0	384188	2	759	1	2	2
52	2	390955	2	132	0	2	2
53	1	399071	2	1275	1	2	2
54	0	406355	2	787	1	2	2
55	2	413155	1	879	1	2	2
56	1	420038	2	712	1	2	2
57	1	426755	2	455	1	2	2
58	2	433222	1	449	1	2	2
59	2	439672	1	459	1	2	2
60	0	446138	2	597	1	2	2
61	0	452738	2	489	1	2	2
62	1	459238	2	673	1	2	2
63	2	465922	1	434	1	2	2
64	2	472355	1	621	1	2	2
65	2	478988	1	656	1	2	2
66	2	485655	1	785	1	2	2
67	1	492438	2	766	1	2	2
68	2	499205	1	652	1	2	2
69	2	505855	1	542	1	2	2
70	2	512405	1	548	1	2	2
71	2	518955	1	346	1	2	2
72	0	525305	2	632	1	2	2
73	2	531939	1	619	1	2	2
74	1	538572	2	638	1	2	2
75	2	545222	2	976	0	2	2
76	2	554189	1	1300	1	2	2
77	2	561489	1	716	1	2	2
78	2	568205	1	716	1	2	2
79	2	574922	1	763	1	2	2
80	0	581689	2	649	1	2	2
81	1	637956	2	1421	1	2	2
82	0	645389	2	864	1	2	2
83	1	652256	2	601	1	2	2
84	2	658856	1	1101	1	2	2
85	1	665956	2	605	1	2	2
86	2	672572	1	497	1	2	2
87	0	679072	2	617	1	2	2
88	2	684506	1	876	1	2	2
89	2	691873	1	753	1	2	2
90	2	698639	1	431	1	2	2
91	2	705073	1	825	1	2	2
92	1	711906	1	612	0	2	2
93	0	720506	2	695	1	2	2
94	0	727206	2	631	1	2	2
95	2	733839	1	810	1	2	2
96	2	740656	1	645	1	2	2
97	2	747306	1	791	1	2	2
98	0	754106	2	547	1	2	2
99	2	760656	2	665	0	2	2
100	1	769306	2	634	1	2	2
101	0	775939	2	781	1	2	2
102	1	782723	2	74	1	2	2
103	1	788806	2	1235	1	2	2
104	0	796056	2	749	1	2	2
105	1	802806	2	635	1	2	2
106	2	809456	1	957	1	2	2
107	1	816423	2	563	1	2	2
108	2	822990	1	376	1	2	2
109	2	829373	1	789	1	2	2
110	2	836173	1	1600	1	2	2
111	2	843773	1	557	1	2	2
112	1	850340	2	466	1	2	2
113	0	856806	2	492	1	2	2
114	0	863306	2	628	1	2	2
115	0	869940	2	439	1	2	2
116	0	876390	1	753	0	2	2
117	2	885140	1	862	1	2	2
118	2	892007	1	408	1	2	2
119	2	898423	1	403	1	2	2
120	2	904840	1	655	1	2	2
121	0	957574	2	1874	1	2	2
122	0	965457	2	819	1	2	2
123	1	972290	2	670	1	2	2
124	1	978974	2	751	1	2	2
125	2	985740	1	780	1	2	2
126	2	992524	1	457	1	2	2
127	2	998990	1	403	1	2	2
128	2	1005407	1	430	1	2	2
129	0	1011840	2	537	1	2	2
130	1	1018390	2	831	1	2	2
131	1	1025224	2	1194	1	2	2
132	1	1032424	1	614	0	2	2
133	1	1041024	2	393	1	2	2
134	2	1047424	1	422	1	2	2
135	1	1053857	2	513	1	2	2
136	2	1060374	1	616	1	2	2
137	0	1066991	2	524	1	2	2
138	2	1072341	2	962	0	2	2
139	0	1081774	2	2195	1	2	2
140	2	1089974	1	567	1	2	2
141	2	1096557	1	540	1	2	2
142	2	1103107	1	658	1	2	2
143	2	1109774	1	659	1	2	2
144	0	1116441	2	501	1	2	2
145	0	1122957	2	589	1	2	2
146	2	1129558	1	769	1	2	2
147	1	1136341	2	478	1	2	2
148	0	1142824	2	535	1	2	2
149	0	1149374	2	509	1	2	2
150	0	1155891	2	661	1	2	2
151	2	1162558	1	342	1	2	2
152	2	1168908	1	453	1	2	2
153	2	1175374	1	366	1	2	2
154	1	1181774	2	443	1	2	2
155	0	1188258	2	483	1	2	2
156	2	1194791	1	874	1	2	2
157	2	1201708	1	610	1	2	2
158	2	1208358	1	548	1	2	2
159	0	1214941	2	473	1	2	2
160	1	1221458	2	848	1	2	2
