order	cond	time	button	rt	correct	block	counterbalance
1	2	16242	2	194	1	1	2
2	1	21275	1	694	1	1	2
3	0	28509	2	400	1	1	2
4	1	34959	1	378	1	1	2
5	0	41375	2	326	1	1	2
6	2	47742	2	307	1	1	2
7	2	54092	2	226	1	1	2
8	1	59159	1	1107	1	1	2
9	1	66809	2	461	0	1	2
10	2	75309	2	340	1	1	2
11	1	81692	1	2736	1	1	2
12	2	90475	2	413	1	1	2
13	2	95726	2	919	1	1	2
14	1	103192	2	392	0	1	2
15	2	111626	2	450	1	1	2
16	1	118126	1	1529	1	1	2
17	1	125692	1	407	1	1	2
18	1	132142	2	928	0	1	2
19	1	141109	2	709	0	1	2
20	2	149859	2	305	1	1	2
21	1	156209	2	528	0	1	2
22	1	164776	1	260	1	1	2
23	0	171076	1	388	0	1	2
24	1	179509	1	398	1	1	2
25	1	185959	1	296	1	1	2
26	1	192292	1	663	1	1	2
27	1	198992	1	406	1	1	2
28	0	205442	2	625	1	1	2
29	0	212109	2	354	1	1	2
30	1	217309	2	879	0	1	2
31	2	226726	2	1040	1	1	2
32	2	233809	2	1089	1	1	2
33	0	240943	1	1567	0	1	2
34	1	250559	1	329	1	1	2
35	0	256926	2	167	1	1	2
36	1	263143	1	251	1	1	2
37	2	269443	2	459	1	1	2
38	0	275943	2	451	1	1	2
39	2	282443	1	971	0	1	2
40	1	291459	2	413	0	1	2
41	1	326659	1	393	1	1	2
42	0	333093	2	659	1	1	2
43	1	339793	1	451	1	1	2
44	1	346293	1	1035	1	1	2
45	2	353376	2	540	1	1	2
46	1	359960	1	448	1	1	2
47	0	366460	2	760	1	1	2
48	1	373260	1	532	1	1	2
49	0	379843	2	489	1	1	2
50	1	386376	2	672	0	1	2
51	2	395093	2	414	1	1	2
52	1	401560	1	344	1	1	2
53	2	407943	2	404	1	1	2
54	1	414393	1	447	1	1	2
55	1	420876	1	488	1	1	2
56	2	427410	2	463	1	1	2
57	1	433910	1	375	1	1	2
58	1	440326	1	354	1	1	2
59	0	446726	2	686	1	1	2
60	0	453460	2	749	1	1	2
61	1	460260	2	1608	0	1	2
62	2	469910	2	338	1	1	2
63	0	476293	2	558	1	1	2
64	2	482893	2	370	1	1	2
65	1	489310	1	350	1	1	2
66	1	495710	1	618	1	1	2
67	2	502377	1	2106	0	1	2
68	0	512527	2	575	1	1	2
69	0	519143	2	482	1	1	2
70	1	525677	1	457	1	1	2
71	2	532177	2	353	1	1	2
72	1	538577	2	605	0	1	2
73	1	547227	1	398	1	1	2
74	2	553677	2	680	1	1	2
75	1	560393	1	536	1	1	2
76	0	566977	2	476	1	1	2
77	1	573493	1	436	1	1	2
78	1	579977	1	365	1	1	2
79	2	586393	2	360	1	1	2
80	0	592794	2	788	1	1	2
81	2	616827	1	2643	0	1	2
82	0	627510	2	435	1	1	2
83	0	633994	2	604	1	1	2
84	1	640644	2	1405	0	1	2
85	1	650094	1	350	1	1	2
86	1	656494	1	458	1	1	2
87	2	662994	2	530	1	1	2
88	2	669560	2	824	1	1	2
89	1	676427	1	513	1	1	2
90	1	682977	1	407	1	1	2
91	2	689427	1	1713	0	1	2
92	2	699177	2	470	1	1	2
93	1	705694	1	861	1	1	2
94	2	712594	2	1013	1	1	2
95	1	719644	1	455	1	1	2
96	0	726144	2	399	1	1	2
97	0	732594	2	426	1	1	2
98	0	739061	2	563	1	1	2
99	1	745661	1	471	1	1	2
100	0	752177	2	398	1	1	2
101	1	758627	1	457	1	1	2
102	1	765127	2	432	0	1	2
103	2	773611	2	1975	1	1	2
104	2	781627	2	275	1	1	2
105	1	787944	1	355	1	1	2
106	1	794344	1	751	1	1	2
107	0	801144	2	491	1	1	2
108	1	807677	1	418	1	1	2
109	1	814144	1	411	1	1	2
110	0	820594	2	534	1	1	2
111	0	827177	1	1833	0	1	2
112	2	837061	2	297	1	1	2
113	1	843411	1	407	1	1	2
114	1	849861	1	450	1	1	2
115	1	856361	2	490	0	1	2
116	0	864894	2	368	1	1	2
117	1	871311	1	1178	1	1	2
118	1	878528	1	2181	1	1	2
119	1	886761	1	664	1	1	2
120	1	893461	1	392	1	1	2
121	2	914428	2	501	1	1	2
122	2	920978	2	315	1	1	2
123	1	927344	2	377	0	1	2
124	2	935761	2	483	1	1	2
125	0	942294	2	346	1	1	2
126	2	948678	2	1014	1	1	2
127	0	955744	2	344	1	1	2
128	1	962128	1	309	1	1	2
129	2	968478	2	851	1	1	2
130	1	975378	1	347	1	1	2
131	1	980561	1	153	1	1	2
132	0	987261	2	392	1	1	2
133	0	993695	2	579	1	1	2
134	1	1000311	1	486	1	1	2
135	1	1006845	1	493	1	1	2
136	1	1013378	1	2099	1	1	2
137	1	1021528	1	425	1	1	2
138	2	1027995	2	1090	1	1	2
139	2	1035128	2	481	1	1	2
140	1	1041661	2	967	0	1	2
141	1	1050678	1	569	1	1	2
142	1	1057295	1	397	1	1	2
143	1	1063728	1	88	1	1	2
144	1	1069861	2	623	0	1	2
145	1	1078528	1	895	1	1	2
146	0	1085461	2	438	1	1	2
147	1	1091945	1	606	1	1	2
148	0	1098595	2	624	1	1	2
149	0	1105262	2	434	1	1	2
150	2	1111745	2	763	1	1	2
151	1	1118545	1	487	1	1	2
152	0	1125078	2	478	1	1	2
153	1	1131595	1	501	1	1	2
154	0	1138145	2	427	1	1	2
155	0	1144612	2	533	1	1	2
156	0	1151195	2	649	1	1	2
157	1	1157895	1	297	1	1	2
158	1	1164245	1	472	1	1	2
159	0	1170762	2	719	1	1	2
160	2	1177528	2	333	1	1	2
