order	cond	time	button	rt	correct	block	counterbalance
1	2	10216	2	1635	1	1	2
2	0	17899	2	1307	1	1	2
3	0	25249	2	624	1	1	2
4	0	31916	2	1520	1	1	2
5	1	39482	1	653	1	1	2
6	1	46182	1	2636	1	1	2
7	1	54866	2	524	0	1	2
8	0	63432	2	591	1	1	2
9	1	70066	1	1249	1	1	2
10	0	77366	2	537	1	1	2
11	2	83949	2	1692	1	1	2
12	0	91682	2	2385	1	1	2
13	1	100116	1	587	1	1	2
14	1	106749	2	653	0	1	2
15	2	115449	2	763	1	1	2
16	0	122249	1	551	0	1	2
17	1	130849	1	649	1	1	2
18	0	136349	2	729	1	1	2
19	0	143616	2	4271	1	1	2
20	1	153933	1	542	1	1	2
21	0	160516	2	514	1	1	2
22	0	167066	2	1159	1	1	2
23	2	174266	2	691	1	1	2
24	0	180999	2	465	1	1	2
25	2	187516	2	408	1	1	2
26	0	193966	2	1345	1	1	2
27	1	201349	1	1700	1	1	2
28	1	209099	1	4151	1	1	2
29	1	219299	1	666	1	1	2
30	0	226016	2	633	1	1	2
31	1	232699	1	1145	1	1	2
32	1	238683	2	790	0	1	2
33	2	248016	2	2473	1	1	2
34	1	256533	1	96	1	1	2
35	0	262666	2	663	1	1	2
36	2	269366	2	470	1	1	2
37	2	275883	2	445	1	1	2
38	1	282366	1	517	1	1	2
39	1	288933	1	986	1	1	2
40	1	295966	1	796	1	1	2
41	2	323666	2	389	1	1	2
42	2	328899	2	480	1	1	2
43	0	334716	2	164	1	1	2
44	0	341416	2	2194	1	1	2
45	2	349650	2	468	1	1	2
46	2	356166	4	3177	2	1	2
47	1	367383	1	546	1	1	2
48	1	372766	1	775	1	1	2
49	1	380083	2	1645	0	1	2
50	1	389766	1	2019	1	1	2
51	2	397833	2	396	1	1	2
52	1	404266	1	502	1	1	2
53	1	410816	1	1227	1	1	2
54	1	418083	1	1460	1	1	2
55	1	424383	1	740	1	1	2
56	2	431666	2	4473	1	1	2
57	1	442183	1	560	1	1	2
58	1	448783	1	2866	1	1	2
59	2	457700	2	6820	1	1	2
60	0	469366	2	414	1	1	2
61	0	476316	2	1075	1	1	2
62	1	483433	2	1681	0	1	2
63	1	493166	1	454	1	1	2
64	1	499666	1	6105	1	1	2
65	1	511816	1	2702	1	1	2
66	2	520566	2	443	1	1	2
67	1	527050	1	355	1	1	2
68	0	533450	2	3309	1	1	2
69	1	542800	1	1234	1	1	2
70	1	550083	2	395	0	1	2
71	1	558516	1	867	1	1	2
72	0	565433	2	426	1	1	2
73	0	571900	2	2625	1	1	2
74	1	580567	1	770	1	1	2
75	1	587383	2	509	0	1	2
76	0	595933	2	8028	1	1	2
77	1	610000	1	677	1	1	2
78	1	616717	1	1092	1	1	2
79	1	623850	1	6062	1	1	2
80	1	635950	1	1492	1	1	2
81	1	670833	3	858	2	1	2
82	1	679733	1	225	1	1	2
83	1	686000	1	594	1	1	2
84	1	691433	1	389	1	1	2
85	1	698367	1	746	1	1	2
86	0	703950	4	407	2	1	2
87	1	712900	1	571	1	1	2
88	0	719517	2	574	1	1	2
89	2	726133	2	673	1	1	2
