order	cond	time	button	rt	correct	block	counterbalance
1	2	14138	1	512	1	2	2
2	1	20655	2	535	1	2	2
3	2	27188	1	1358	1	2	2
4	1	34555	2	467	1	2	2
5	2	41022	1	3691	1	2	2
6	1	50722	2	1219	1	2	2
7	2	57939	2	654	0	2	2
8	1	66589	2	959	1	2	2
9	0	73555	2	436	1	2	2
10	2	79989	1	1087	1	2	2
11	0	87072	2	400	1	2	2
12	1	92289	2	956	1	2	2
13	2	99739	1	1117	1	2	2
14	1	106855	2	221	1	2	2
15	1	113089	2	1279	1	2	2
16	1	119189	2	856	1	2	2
17	2	125355	1	558	1	2	2
18	1	132405	2	208	1	2	2
19	1	138622	2	275	1	2	2
20	2	143722	1	1108	1	2	2
21	2	151322	1	384	1	2	2
22	2	157706	1	269	1	2	2
23	2	163972	1	271	1	2	2
24	1	170239	2	320	1	2	2
25	1	176556	2	288	1	2	2
26	2	182856	2	2911	0	2	2
27	0	193756	2	1141	1	2	2
28	0	200906	2	291	1	2	2
29	2	206022	1	915	1	2	2
30	0	213422	2	295	1	2	2
31	2	219722	1	407	1	2	2
32	2	226139	1	627	1	2	2
33	0	232772	2	357	1	2	2
34	1	239139	2	243	1	2	2
35	0	245389	2	1269	1	2	2
36	1	252656	2	366	1	2	2
37	0	259022	2	1371	1	2	2
38	0	266406	2	272	1	2	2
39	0	271506	2	1184	1	2	2
40	2	279173	1	442	1	2	2
41	0	294356	2	385	1	2	2
42	1	299556	2	718	1	2	2
43	1	305573	2	218	1	2	2
44	1	312273	2	1690	1	2	2
45	2	319973	1	370	1	2	2
46	2	326339	1	527	1	2	2
47	1	332873	2	23	1	2	2
48	2	338906	1	353	1	2	2
49	0	345256	2	272	1	2	2
50	2	351539	1	481	1	2	2
51	0	356839	2	1177	1	2	2
52	1	364506	2	178	1	2	2
53	2	370689	2	40	0	2	2
54	0	378723	2	305	1	2	2
55	2	385039	1	4942	1	2	2
56	0	395989	2	277	1	2	2
57	2	402273	1	437	1	2	2
58	2	408723	1	464	1	2	2
59	1	415190	2	377	1	2	2
60	2	420390	1	1110	1	2	2
61	0	427990	1	530	0	2	2
62	1	436506	1	488	0	2	2
63	0	444990	2	464	1	2	2
64	1	451456	2	282	1	2	2
65	0	457740	2	363	1	2	2
66	1	464106	2	504	1	2	2
67	0	470623	2	976	1	2	2
68	2	477606	1	660	1	2	2
69	0	484273	2	390	1	2	2
70	2	490673	1	34	1	2	2
71	0	496706	2	397	1	2	2
72	2	503106	1	3528	1	2	2
73	2	512640	1	343	1	2	2
74	0	518990	2	740	1	2	2
75	0	525740	2	723	1	2	2
76	1	531290	2	513	1	2	2
77	1	537107	2	629	1	2	2
78	1	544223	2	516	1	2	2
79	2	550740	1	364	1	2	2
80	2	557107	1	1816	1	2	2
81	2	571890	1	497	1	2	2
82	2	578390	2	330	0	2	2
83	1	585523	2	280	1	2	2
84	2	592290	2	438	0	2	2
85	1	599540	2	1135	1	2	2
86	2	607157	1	330	1	2	2
87	1	613490	2	857	1	2	2
88	0	620357	2	3201	1	2	2
89	2	629557	1	381	1	2	2
90	1	635940	2	442	1	2	2
91	2	642390	1	756	1	2	2
92	1	649157	1	546	0	2	2
93	2	657690	1	184	1	2	2
94	0	663874	1	556	0	2	2
95	0	671240	2	66	1	2	2
96	2	677790	1	280	1	2	2
97	1	684074	2	281	1	2	2
98	2	690357	2	2088	0	2	2
99	2	700440	1	288	1	2	2
100	1	706740	2	417	1	2	2
101	2	713157	1	492	1	2	2
102	1	719657	2	1972	1	2	2
103	1	726457	2	1120	1	2	2
104	0	734074	2	427	1	2	2
105	1	740507	2	406	1	2	2
106	2	746924	2	689	0	2	2
107	2	755607	1	241	1	2	2
108	0	761857	2	451	1	2	2
109	2	768307	1	493	1	2	2
110	2	774807	1	134	1	2	2
111	2	780940	1	428	1	2	2
112	2	787374	1	344	1	2	2
113	0	793724	2	326	1	2	2
114	1	800057	2	2276	1	2	2
115	2	808341	1	516	1	2	2
116	2	814857	1	316	1	2	2
117	2	819991	1	588	1	2	2
118	0	827074	2	412	1	2	2
119	2	833491	1	1911	1	2	2
120	2	841407	2	471	0	2	2
121	1	857391	2	238	1	2	2
122	2	863641	1	416	1	2	2
123	0	870057	2	252	1	2	2
124	2	876307	2	1181	0	2	2
125	2	885474	1	889	1	2	2
126	2	892374	1	1057	1	2	2
127	2	899441	1	2098	1	2	2
128	1	907541	2	506	1	2	2
129	2	914058	1	289	1	2	2
130	0	920358	1	514	0	2	2
131	0	928858	2	505	1	2	2
132	2	934191	1	1056	1	2	2
133	2	941741	1	829	1	2	2
134	0	948574	1	456	0	2	2
135	2	955841	1	1073	1	2	2
136	0	963408	2	366	1	2	2
137	2	969774	1	444	1	2	2
138	2	976224	1	678	1	2	2
139	2	982908	1	295	1	2	2
140	2	988024	1	55	1	2	2
141	2	993391	2	1085	0	2	2
142	2	1002941	1	1337	1	2	2
143	2	1010291	2	287	0	2	2
144	2	1018574	1	287	1	2	2
145	2	1023691	1	1103	1	2	2
146	2	1031291	2	826	0	2	2
147	1	1040108	2	1124	1	2	2
148	0	1047241	2	451	1	2	2
149	2	1053691	1	334	1	2	2
150	2	1060025	1	396	1	2	2
151	2	1066425	1	2231	1	2	2
152	2	1074658	1	314	1	2	2
153	2	1080975	1	42	1	2	2
154	0	1087025	2	420	1	2	2
155	0	1093458	2	431	1	2	2
156	2	1099891	1	442	1	2	2
157	2	1106341	2	340	0	2	2
158	0	1114675	2	498	1	2	2
159	0	1121175	2	378	1	2	2
160	2	1127558	1	279	1	2	2
