order	cond	time	button	rt	correct	block	counterbalance
1	2	9383	2	273	1	2	1
2	2	15666	2	370	1	2	1
3	2	22050	2	288	1	2	1
4	1	28350	1	273	1	2	1
5	0	34633	2	371	1	2	1
6	0	41016	2	321	1	2	1
7	2	47350	2	337	1	2	1
8	1	53700	2	320	0	2	1
9	0	62016	2	367	1	2	1
10	1	68383	1	318	1	2	1
11	2	74700	2	398	1	2	1
12	2	81100	2	395	1	2	1
13	0	87500	2	345	1	2	1
14	2	93850	2	280	1	2	1
15	1	100133	1	298	1	2	1
16	2	106433	2	346	1	2	1
17	1	112783	1	330	1	2	1
18	1	119117	1	393	1	2	1
19	2	125517	2	327	1	2	1
20	1	131850	1	310	1	2	1
21	1	138167	1	183	1	2	1
22	2	144350	2	300	1	2	1
23	0	150650	2	238	1	2	1
24	0	156900	2	257	1	2	1
25	0	163167	2	323	1	2	1
26	1	169500	1	131	1	2	1
27	1	175634	1	283	1	2	1
28	2	181917	2	492	1	2	1
29	1	188417	1	277	1	2	1
30	1	194700	1	311	1	2	1
31	2	201017	2	471	1	2	1
32	0	207500	2	241	1	2	1
33	1	213750	1	164	1	2	1
34	1	219917	1	315	1	2	1
35	2	226234	2	267	1	2	1
36	1	232517	1	285	1	2	1
37	2	238817	2	302	1	2	1
38	2	245134	2	271	1	2	1
39	2	251417	2	320	1	2	1
40	2	257751	2	336	1	2	1
41	1	266151	1	348	1	2	1
42	1	272501	1	331	1	2	1
43	1	278834	1	299	1	2	1
44	1	285134	1	348	1	2	1
45	0	291484	2	267	1	2	1
46	1	297768	1	349	1	2	1
47	1	304118	1	316	1	2	1
48	1	310434	2	269	0	2	1
49	0	318701	2	462	1	2	1
50	0	325168	2	313	1	2	1
51	2	331484	2	249	1	2	1
52	1	337734	1	300	1	2	1
53	0	344051	2	284	1	2	1
54	1	350351	1	270	1	2	1
55	1	356634	1	303	1	2	1
56	2	362951	2	272	1	2	1
57	1	369235	1	322	1	2	1
58	1	375568	1	402	1	2	1
59	1	381985	1	270	1	2	1
60	0	388268	2	192	1	2	1
61	1	394468	1	293	1	2	1
62	2	400768	2	262	1	2	1
63	2	407035	2	217	1	2	1
64	1	413268	1	109	1	2	1
65	1	419401	1	276	1	2	1
66	0	425718	2	277	1	2	1
67	0	432035	2	469	1	2	1
68	0	438551	2	270	1	2	1
69	0	443668	2	287	1	2	1
70	1	450502	1	186	1	2	1
71	2	456735	1	318	0	2	1
72	0	465102	2	284	1	2	1
73	1	471435	1	251	1	2	1
74	1	477735	1	221	1	2	1
75	1	484002	1	175	1	2	1
76	1	490218	1	260	1	2	1
77	0	496518	2	245	1	2	1
78	1	502802	1	231	1	2	1
79	1	509068	1	201	1	2	1
80	0	515318	2	28	1	2	1
81	2	526452	2	282	1	2	1
82	1	532769	1	171	1	2	1
83	1	537785	1	1199	1	2	1
84	1	545535	1	246	1	2	1
85	1	551819	1	248	1	2	1
86	2	558102	1	250	0	2	1
87	1	566402	1	282	1	2	1
88	0	572719	2	299	1	2	1
89	1	579052	1	266	1	2	1
90	1	585369	1	299	1	2	1
91	1	591719	1	282	1	2	1
92	1	598036	1	410	1	2	1
93	1	604486	1	581	1	2	1
94	0	611102	2	298	1	2	1
95	1	617436	1	282	1	2	1
96	0	623752	2	250	1	2	1
97	1	630052	1	379	1	2	1
98	0	636469	2	232	1	2	1
99	1	642752	1	281	1	2	1
100	0	649069	2	266	1	2	1
101	2	655386	2	219	1	2	1
102	1	661652	1	253	1	2	1
103	1	667953	1	174	1	2	1
104	0	674169	2	339	1	2	1
105	1	680553	1	144	1	2	1
106	1	686736	1	182	1	2	1
107	1	692969	1	122	1	2	1
108	1	699136	1	273	1	2	1
109	2	705453	2	177	1	2	1
110	1	711669	1	262	1	2	1
111	1	717969	1	295	1	2	1
112	1	724303	1	471	1	2	1
113	1	730819	1	143	1	2	1
114	1	737003	1	309	1	2	1
115	0	743353	2	164	1	2	1
116	1	749553	1	297	1	2	1
117	0	755886	2	265	1	2	1
118	0	762203	2	298	1	2	1
119	1	768536	1	330	1	2	1
120	0	774903	2	312	1	2	1
121	0	783053	2	254	1	2	1
122	2	789353	2	239	1	2	1
123	2	795636	2	210	1	2	1
124	2	801886	2	244	1	2	1
125	2	808170	2	71	1	2	1
126	1	814287	1	255	1	2	1
127	1	820587	1	256	1	2	1
128	0	826887	2	17	1	2	1
129	0	832953	2	252	1	2	1
130	1	839253	1	285	1	2	1
131	1	845587	1	93	1	2	1
132	1	851720	1	245	1	2	1
133	0	858003	2	71	1	2	1
134	2	864120	2	271	1	2	1
135	1	870437	1	176	1	2	1
136	2	875453	2	341	1	2	1
137	2	882337	2	334	1	2	1
138	1	888720	1	284	1	2	1
139	1	895054	1	268	1	2	1
140	1	901370	1	284	1	2	1
141	1	907704	1	92	1	2	1
142	2	913837	2	164	1	2	1
143	0	920054	2	120	1	2	1
144	0	925020	2	335	1	2	1
145	1	931904	1	281	1	2	1
146	2	938237	2	105	1	2	1
147	1	944387	1	352	1	2	1
148	0	950787	2	269	1	2	1
149	0	957104	2	349	1	2	1
150	1	963504	1	283	1	2	1
151	1	969837	1	298	1	2	1
152	1	976187	1	249	1	2	1
153	1	981287	1	1162	1	2	1
154	2	988987	2	291	1	2	1
155	0	995321	2	211	1	2	1
156	0	1001571	2	262	1	2	1
157	2	1007871	2	311	1	2	1
158	2	1014221	2	326	1	2	1
159	2	1020587	2	293	1	2	1
160	2	1026921	2	261	1	2	1
