order	cond	time	button	rt	correct	block	counterbalance
1	1	20412	2	304	1	2	2
2	0	26729	2	352	1	2	2
3	2	33079	1	318	1	2	2
4	1	39396	2	301	1	2	2
5	2	45696	1	382	1	2	2
6	0	52079	2	298	1	2	2
7	2	58379	1	427	1	2	2
8	1	64813	2	325	1	2	2
9	0	71146	2	628	1	2	2
10	2	77779	1	423	1	2	2
11	2	84213	1	306	1	2	2
12	1	90529	2	369	1	2	2
13	2	96896	1	319	1	2	2
14	2	103213	1	398	1	2	2
15	2	109613	1	363	1	2	2
16	2	115980	1	392	1	2	2
17	2	122380	1	308	1	2	2
18	1	128696	2	356	1	2	2
19	1	135063	2	609	1	2	2
20	2	141680	1	373	1	2	2
21	2	148063	1	370	1	2	2
22	2	154430	1	575	1	2	2
23	0	161013	2	324	1	2	2
24	2	167346	1	594	1	2	2
25	2	173946	1	327	1	2	2
26	1	180280	2	342	1	2	2
27	2	186630	2	2626	0	2	2
28	0	197247	2	309	1	2	2
29	0	203563	2	277	1	2	2
30	1	209847	2	581	1	2	2
31	2	216430	1	298	1	2	2
32	0	222730	2	906	1	2	2
33	1	229647	2	338	1	2	2
34	2	235997	1	256	1	2	2
35	0	242263	2	274	1	2	2
36	0	248547	2	1170	1	2	2
37	2	255730	2	287	0	2	2
38	2	264013	1	254	1	2	2
39	2	270280	1	336	1	2	2
40	2	276613	1	510	1	2	2
41	2	287230	1	304	1	2	2
42	2	294030	1	332	1	2	2
43	2	300364	1	298	1	2	2
44	1	306664	2	203	1	2	2
45	1	312880	2	318	1	2	2
46	2	319197	1	302	1	2	2
47	0	325497	2	382	1	2	2
48	1	331880	2	283	1	2	2
49	1	338164	2	284	1	2	2
50	1	344447	2	237	1	2	2
51	2	350697	1	287	1	2	2
52	1	356997	2	256	1	2	2
53	0	363264	2	1281	1	2	2
54	2	370547	1	378	1	2	2
55	2	376931	1	422	1	2	2
56	2	383364	2	321	0	2	2
57	2	391681	1	336	1	2	2
58	1	398014	2	319	1	2	2
59	1	404331	2	286	1	2	2
60	2	410631	1	350	1	2	2
61	0	416981	2	269	1	2	2
62	2	423247	1	350	1	2	2
63	0	429597	2	284	1	2	2
64	1	435881	2	285	1	2	2
65	2	442164	1	254	1	2	2
66	2	448431	1	448	1	2	2
67	1	453697	2	538	1	2	2
68	1	460731	2	285	1	2	2
69	0	467014	2	334	1	2	2
70	2	473348	1	316	1	2	2
71	0	479664	1	572	0	2	2
72	2	488231	1	272	1	2	2
73	2	494514	1	401	1	2	2
74	1	500914	2	301	1	2	2
75	2	507214	1	238	1	2	2
76	2	513464	1	224	1	2	2
77	0	519698	2	307	1	2	2
78	2	526014	1	339	1	2	2
79	2	532364	1	321	1	2	2
80	2	538698	1	368	1	2	2
81	2	549348	2	527	0	2	2
82	2	558348	1	259	1	2	2
83	0	564615	2	260	1	2	2
84	1	570881	2	262	1	2	2
85	2	577148	1	247	1	2	2
86	1	583398	2	122	1	2	2
87	0	589531	2	1472	1	2	2
88	1	597015	2	465	1	2	2
89	2	603481	1	346	1	2	2
90	2	609831	1	297	1	2	2
91	1	616131	2	281	1	2	2
92	1	622415	2	330	1	2	2
93	0	628748	2	409	1	2	2
94	2	635165	1	260	1	2	2
95	2	641432	1	310	1	2	2
96	2	647748	1	293	1	2	2
97	2	654048	1	405	1	2	2
98	2	660465	2	305	0	2	2
99	2	668765	2	48	0	2	2
100	0	676798	2	426	1	2	2
101	2	682048	1	1125	1	2	2
102	0	689665	2	320	1	2	2
103	2	695998	1	239	1	2	2
104	0	702248	2	289	1	2	2
105	0	708548	2	241	1	2	2
106	1	714799	2	292	1	2	2
107	0	721099	2	260	1	2	2
108	0	727365	2	342	1	2	2
109	1	733715	2	804	1	2	2
110	0	740532	2	303	1	2	2
111	0	746849	2	351	1	2	2
112	0	753199	1	2220	0	2	2
113	0	763415	2	1629	1	2	2
114	2	771049	1	312	1	2	2
115	1	776182	2	152	1	2	2
116	2	782832	1	58	1	2	2
117	1	788899	2	292	1	2	2
118	2	795199	2	292	0	2	2
119	0	802299	2	708	1	2	2
120	1	809499	2	160	1	2	2
121	2	830082	1	572	1	2	2
122	2	836666	1	257	1	2	2
123	0	842932	2	258	1	2	2
124	0	849199	2	260	1	2	2
125	1	855466	2	310	1	2	2
126	2	861782	1	261	1	2	2
127	2	868049	1	215	1	2	2
128	0	874266	2	155	1	2	2
129	1	880432	2	224	1	2	2
130	0	886666	2	307	1	2	2
131	2	892983	1	370	1	2	2
132	2	899366	1	144	1	2	2
133	2	905516	1	325	1	2	2
134	0	911849	2	261	1	2	2
135	1	918116	2	342	1	2	2
136	1	924466	2	260	1	2	2
137	1	930733	2	294	1	2	2
138	2	937033	1	263	1	2	2
139	2	943299	1	360	1	2	2
140	2	949666	1	278	1	2	2
141	0	955949	2	103	1	2	2
142	2	962066	1	47	1	2	2
143	2	968116	1	329	1	2	2
144	0	974450	2	328	1	2	2
145	2	979600	1	503	1	2	2
146	1	986600	2	299	1	2	2
147	1	992900	2	267	1	2	2
148	2	999183	1	284	1	2	2
149	0	1005483	2	268	1	2	2
150	2	1011766	1	285	1	2	2
151	2	1018066	1	285	1	2	2
152	0	1023183	4	1181	2	2	2
153	1	1032833	2	294	1	2	2
154	2	1039133	1	422	1	2	2
155	2	1045566	1	369	1	2	2
156	0	1051950	1	206	0	2	2
157	1	1060150	2	449	1	2	2
158	2	1065417	1	923	1	2	2
159	2	1072833	1	318	1	2	2
160	2	1079167	1	62	1	2	2
