order	cond	time	button	rt	correct	block	counterbalance
1	2	44259	1	1015	1	1	1
2	1	51276	2	715	1	1	1
3	2	57993	1	731	1	1	1
4	2	64726	1	1626	1	1	1
5	2	72359	1	709	1	1	1
6	0	79076	2	1861	1	1	1
7	2	86943	1	535	1	1	1
8	1	93493	2	494	1	1	1
9	2	99993	1	711	1	1	1
10	1	106710	2	471	1	1	1
11	1	113193	2	545	1	1	1
12	2	119743	1	616	1	1	1
13	2	126360	1	572	1	1	1
14	2	132943	1	593	1	1	1
15	2	139543	1	518	1	1	1
16	0	146076	4	2525	2	1	1
17	0	156593	1	900	0	1	1
18	0	165476	2	668	1	1	1
19	2	172160	1	510	1	1	1
20	1	178676	2	518	1	1	1
21	0	185210	2	654	1	1	1
22	2	191877	1	1599	1	1	1
23	2	199477	1	684	1	1	1
24	2	206160	1	1134	1	1	1
25	1	213293	2	445	1	1	1
26	2	219743	1	776	1	1	1
27	1	226527	2	485	1	1	1
28	1	233027	2	1438	1	1	1
29	0	240477	2	2128	1	1	1
30	2	248610	1	408	1	1	1
31	2	255027	1	500	1	1	1
32	1	261527	2	461	1	1	1
33	0	267994	2	839	1	1	1
34	2	274844	1	370	1	1	1
35	0	281227	2	960	1	1	1
36	2	288194	1	614	1	1	1
37	1	294810	2	346	1	1	1
38	2	301160	1	297	1	1	1
39	0	307460	2	538	1	1	1
40	2	314010	1	513	1	1	1
41	2	343027	1	554	1	1	1
42	2	349594	1	577	1	1	1
43	1	356177	2	294	1	1	1
44	2	362477	1	471	1	1	1
45	0	368961	2	721	1	1	1
46	0	375694	2	624	1	1	1
47	2	382327	1	308	1	1	1
48	2	388644	2	484	0	1	1
49	2	397127	1	588	1	1	1
50	0	403727	2	657	1	1	1
51	1	410394	2	500	1	1	1
52	0	416894	2	524	1	1	1
53	0	423428	2	756	1	1	1
54	1	430194	2	690	1	1	1
55	0	436894	2	499	1	1	1
56	2	443394	1	540	1	1	1
57	1	449944	2	403	1	1	1
58	1	456361	2	3614	1	1	1
59	1	465978	2	458	1	1	1
60	2	472444	1	484	1	1	1
61	2	478944	1	445	1	1	1
62	1	485394	2	456	1	1	1
63	1	491861	2	290	1	1	1
64	0	498161	2	2035	1	1	1
65	2	506211	1	637	1	1	1
66	2	512861	1	512	1	1	1
67	2	519378	1	457	1	1	1
68	2	525845	1	323	1	1	1
69	0	532178	2	643	1	1	1
70	1	538828	2	470	1	1	1
71	2	545311	1	799	1	1	1
72	1	552111	1	636	0	1	1
73	2	560745	1	463	1	1	1
74	0	567211	2	1704	1	1	1
75	2	574945	2	768	0	1	1
76	2	583745	2	348	0	1	1
77	1	592128	2	584	1	1	1
78	2	598762	1	444	1	1	1
79	1	605245	2	422	1	1	1
80	2	611712	1	1679	1	1	1
81	2	644095	1	609	1	1	1
82	0	650745	2	421	1	1	1
83	2	657212	1	1167	1	1	1
84	2	664429	1	923	1	1	1
85	2	671395	1	1137	1	1	1
86	0	678579	2	638	1	1	1
87	2	685262	1	512	1	1	1
88	0	691812	2	535	1	1	1
89	0	698395	2	780	1	1	1
90	0	705212	2	536	1	1	1
