order	cond	time	button	rt	correct	block	counterbalance
1	2	23569	1	675	1	1	1
2	2	30252	1	611	1	1	1
3	2	36869	1	615	1	1	1
4	2	43486	1	426	1	1	1
5	1	49919	2	1316	1	1	1
6	1	57236	2	347	1	1	1
7	2	63586	1	1065	1	1	1
8	0	70653	2	522	1	1	1
9	0	77186	2	465	1	1	1
10	1	83653	2	346	1	1	1
11	2	90003	1	456	1	1	1
12	0	96469	2	401	1	1	1
13	1	102886	2	268	1	1	1
14	1	109169	2	509	1	1	1
15	0	115686	2	308	1	1	1
16	2	122003	1	308	1	1	1
17	0	128319	2	467	1	1	1
18	2	134803	1	332	1	1	1
19	1	141136	2	315	1	1	1
20	2	147453	1	410	1	1	1
21	1	153869	2	373	1	1	1
22	2	160253	1	673	1	1	1
23	2	166936	1	466	1	1	1
24	2	173403	2	315	0	1	1
25	2	181703	1	410	1	1	1
26	2	188120	1	262	1	1	1
27	2	194386	1	311	1	1	1
28	2	200703	1	247	1	1	1
29	0	206953	2	329	1	1	1
30	2	213286	1	264	1	1	1
31	1	219553	2	265	1	1	1
32	2	225820	1	330	1	1	1
33	0	232153	2	345	1	1	1
34	2	238503	1	295	1	1	1
35	2	244803	1	248	1	1	1
36	1	251053	2	185	1	1	1
37	2	257253	1	318	1	1	1
38	2	263587	1	252	1	1	1
39	0	269853	2	254	1	1	1
40	2	276120	1	287	1	1	1
41	2	292470	1	279	1	1	1
42	1	298753	2	264	1	1	1
43	2	305020	1	761	1	1	1
44	0	311787	1	1222	0	1	1
45	0	321003	2	352	1	1	1
46	1	327370	2	861	1	1	1
47	1	334237	2	454	1	1	1
48	2	340703	1	335	1	1	1
49	2	347053	1	318	1	1	1
50	1	353387	2	268	1	1	1
51	2	359670	1	301	1	1	1
52	0	365987	2	940	1	1	1
53	2	372937	1	338	1	1	1
54	0	379287	2	304	1	1	1
55	1	385604	2	351	1	1	1
56	2	391970	1	349	1	1	1
57	2	398320	1	347	1	1	1
58	2	404670	1	297	1	1	1
59	1	410970	2	297	1	1	1
60	2	417270	1	409	1	1	1
61	1	423687	2	404	1	1	1
62	2	430104	1	319	1	1	1
63	2	436454	1	429	1	1	1
64	0	442920	2	295	1	1	1
65	2	449254	1	437	1	1	1
66	1	455737	2	286	1	1	1
67	2	462070	1	268	1	1	1
68	2	468387	1	444	1	1	1
69	0	474871	2	292	1	1	1
70	0	481204	2	323	1	1	1
71	1	487571	2	256	1	1	1
72	2	493871	1	256	1	1	1
73	2	500171	1	304	1	1	1
74	1	506521	2	255	1	1	1
75	1	512821	2	254	1	1	1
76	0	519121	2	254	1	1	1
77	2	525421	1	382	1	1	1
78	2	531837	1	298	1	1	1
79	1	538171	2	280	1	1	1
80	0	544487	2	328	1	1	1
81	1	571288	2	407	1	1	1
82	2	577738	1	257	1	1	1
83	2	584038	1	273	1	1	1
84	0	590354	1	400	0	1	1
85	2	598804	2	250	0	1	1
86	0	607104	2	408	1	1	1
87	2	613554	1	274	1	1	1
88	2	619871	1	273	1	1	1
89	0	626188	2	513	1	1	1
90	0	632738	2	391	1	1	1
91	1	639171	2	258	1	1	1
92	1	645471	2	289	1	1	1
93	1	651804	2	224	1	1	1
94	0	658071	1	321	0	1	1
95	0	666438	2	302	1	1	1
96	2	672788	1	300	1	1	1
97	2	679138	2	298	0	1	1
98	1	687471	2	327	1	1	1
99	2	693838	1	292	1	1	1
100	1	700171	2	291	1	1	1
101	0	706505	2	418	1	1	1
102	2	712971	1	267	1	1	1
103	2	719288	1	267	1	1	1
104	2	725605	1	218	1	1	1
105	2	731871	1	347	1	1	1
106	2	738255	1	328	1	1	1
107	1	744621	2	325	1	1	1
108	0	750988	2	275	1	1	1
109	0	757305	2	306	1	1	1
110	1	763655	2	672	1	1	1
111	1	770372	2	1055	1	1	1
112	0	777472	2	383	1	1	1
113	2	783905	2	681	0	1	1
114	2	792622	1	391	1	1	1
115	2	799055	1	289	1	1	1
116	1	805388	2	288	1	1	1
117	1	811722	2	367	1	1	1
118	2	818138	1	234	1	1	1
119	0	824422	2	251	1	1	1
120	1	830722	2	75	1	1	1
121	0	851772	2	340	1	1	1
122	2	858155	1	337	1	1	1
123	1	864538	2	574	1	1	1
124	2	871155	1	673	1	1	1
125	2	877872	1	336	1	1	1
126	2	884255	1	301	1	1	1
127	1	890605	2	347	1	1	1
128	2	896989	1	359	1	1	1
129	1	903389	2	643	1	1	1
130	2	910072	1	276	1	1	1
131	2	916389	1	499	1	1	1
132	0	922939	2	233	1	1	1
133	1	929222	2	266	1	1	1
134	1	935539	2	458	1	1	1
135	0	942039	2	354	1	1	1
136	2	948439	1	349	1	1	1
137	2	954839	1	1049	1	1	1
138	0	961939	2	329	1	1	1
139	0	968306	2	230	1	1	1
140	0	974572	1	616	0	1	1
141	0	983239	2	280	1	1	1
142	0	989556	2	152	1	1	1
143	2	995756	1	267	1	1	1
144	0	1002072	2	459	1	1	1
145	2	1008572	1	323	1	1	1
146	0	1014939	2	272	1	1	1
147	2	1021256	1	319	1	1	1
148	2	1027622	1	205	1	1	1
149	0	1033872	2	207	1	1	1
150	1	1040122	2	417	1	1	1
151	2	1045389	1	955	1	1	1
152	2	1052889	1	570	1	1	1
153	2	1059506	1	382	1	1	1
154	0	1065939	2	296	1	1	1
155	2	1072272	1	247	1	1	1
156	2	1078556	1	296	1	1	1
157	2	1084889	1	279	1	1	1
158	2	1091206	1	566	1	1	1
159	2	1097823	1	265	1	1	1
160	1	1104139	1	329	0	1	1
