order	cond	time	button	rt	correct	block	counterbalance
1	0	43297	2	343	1	2	1
2	1	49647	1	245	1	2	1
3	0	55897	2	278	1	2	1
4	0	62180	2	326	1	2	1
5	2	68513	2	229	1	2	1
6	1	74747	1	135	1	2	1
7	2	80880	2	302	1	2	1
8	1	87180	1	333	1	2	1
9	1	93514	1	267	1	2	1
10	1	99780	1	348	1	2	1
11	2	106130	2	377	1	2	1
12	2	112514	2	310	1	2	1
13	1	118830	1	277	1	2	1
14	2	125114	2	357	1	2	1
15	1	131480	1	290	1	2	1
16	2	137780	2	465	1	2	1
17	0	144247	2	346	1	2	1
18	1	150597	1	264	1	2	1
19	1	156864	1	89	1	2	1
20	0	162964	2	320	1	2	1
21	0	169297	2	526	1	2	1
22	0	175830	2	293	1	2	1
23	1	182130	1	404	1	2	1
24	1	188547	1	271	1	2	1
25	1	194831	1	1006	1	2	1
26	1	201847	1	434	1	2	1
27	1	208281	1	316	1	2	1
28	2	214597	2	203	1	2	1
29	1	220797	1	238	1	2	1
30	1	227047	1	192	1	2	1
31	1	233247	1	228	1	2	1
32	0	239481	2	262	1	2	1
33	2	245747	2	359	1	2	1
34	0	252114	2	340	1	2	1
35	0	258464	2	273	1	2	1
36	2	264747	2	322	1	2	1
37	1	271081	1	304	1	2	1
38	1	277397	1	303	1	2	1
39	1	283714	1	254	1	2	1
40	1	289981	1	223	1	2	1
41	2	315964	1	397	0	2	1
42	0	324348	2	247	1	2	1
43	0	330598	2	265	1	2	1
44	1	336864	1	314	1	2	1
45	2	343181	2	217	1	2	1
46	0	349398	2	332	1	2	1
47	1	355731	2	730	0	2	1
48	1	364448	1	312	1	2	1
49	1	370764	1	279	1	2	1
50	1	377048	1	183	1	2	1
51	0	383231	2	267	1	2	1
52	1	389498	1	188	1	2	1
53	1	395698	1	240	1	2	1
54	1	401948	1	1360	1	2	1
55	1	409314	1	277	1	2	1
56	2	415598	2	277	1	2	1
57	0	421881	2	374	1	2	1
58	1	428265	1	530	1	2	1
59	0	434798	2	280	1	2	1
60	0	441081	2	344	1	2	1
61	1	447431	1	502	1	2	1
62	1	452748	1	1149	1	2	1
63	1	460381	1	439	1	2	1
64	0	466831	2	256	1	2	1
65	1	473098	1	257	1	2	1
66	1	479365	2	370	0	2	1
67	0	487731	2	446	1	2	1
68	2	494181	1	423	0	2	1
69	2	502598	2	272	1	2	1
70	1	508881	1	192	1	2	1
71	2	515081	2	228	1	2	1
72	0	521315	2	390	1	2	1
73	1	527715	1	242	1	2	1
74	1	533965	1	387	1	2	1
75	1	540365	1	367	1	2	1
76	0	546732	2	252	1	2	1
77	0	552982	2	637	1	2	1
78	0	559632	2	494	1	2	1
79	2	566132	2	502	1	2	1
80	2	572632	2	525	1	2	1
81	2	590082	2	295	1	2	1
82	1	596382	1	279	1	2	1
83	1	602665	1	247	1	2	1
84	1	608915	1	456	1	2	1
85	0	615382	2	241	1	2	1
86	1	621632	1	467	1	2	1
87	0	628098	2	252	1	2	1
88	1	634348	1	157	1	2	1
89	0	640515	2	210	1	2	1
90	1	646732	1	437	1	2	1
91	0	653182	2	271	1	2	1
92	1	659465	1	319	1	2	1
93	1	665799	1	253	1	2	1
94	2	672065	2	1101	1	2	1
95	2	679165	2	317	1	2	1
96	0	685482	2	156	1	2	1
97	1	691649	1	720	1	2	1
98	2	698382	2	95	1	2	1
99	1	704482	1	262	1	2	1
100	2	710749	2	1143	1	2	1
101	1	717899	1	276	1	2	1
102	2	724182	1	389	0	2	1
103	1	732565	1	687	1	2	1
104	1	739265	1	463	1	2	1
105	2	745732	2	56	1	2	1
106	1	751799	1	401	1	2	1
107	2	758199	1	268	0	2	1
108	2	766465	2	1067	1	2	1
109	1	773532	1	332	1	2	1
110	1	779865	1	394	1	2	1
111	1	786266	1	342	1	2	1
112	1	792616	1	291	1	2	1
113	1	798916	1	275	1	2	1
114	0	805199	2	211	1	2	1
115	0	811416	2	150	1	2	1
116	1	817566	1	412	1	2	1
117	1	823982	1	230	1	2	1
118	0	830216	2	585	1	2	1
119	0	836816	2	268	1	2	1
120	0	843099	1	732	0	2	1
121	1	861899	1	671	1	2	1
122	1	868582	1	368	1	2	1
123	0	874966	2	252	1	2	1
124	1	881232	1	221	1	2	1
125	1	887466	1	863	1	2	1
126	1	894332	1	440	1	2	1
127	1	900783	1	257	1	2	1
128	1	907049	1	115	1	2	1
129	1	913166	1	249	1	2	1
130	1	919416	1	427	1	2	1
131	2	925849	2	788	1	2	1
132	1	932649	1	272	1	2	1
133	0	938933	2	448	1	2	1
134	1	945383	1	282	1	2	1
135	1	951666	1	266	1	2	1
136	0	957933	2	363	1	2	1
137	1	964299	1	264	1	2	1
138	0	970566	2	329	1	2	1
139	2	976899	2	183	1	2	1
140	1	983083	1	315	1	2	1
141	1	989399	1	314	1	2	1
142	2	995716	2	489	1	2	1
143	2	1002216	2	481	1	2	1
144	2	1008699	2	105	1	2	1
145	1	1014816	1	288	1	2	1
146	2	1021116	2	415	1	2	1
147	2	1027533	1	234	0	2	1
148	1	1035766	1	842	1	2	1
149	2	1041433	2	276	1	2	1
150	1	1048200	1	241	1	2	1
151	2	1054450	2	291	1	2	1
152	2	1060750	2	338	1	2	1
153	0	1067100	2	304	1	2	1
154	2	1073416	2	398	1	2	1
155	0	1079816	2	682	1	2	1
156	0	1086500	2	106	1	2	1
157	2	1092616	2	513	1	2	1
158	1	1099133	1	296	1	2	1
159	2	1105433	2	743	1	2	1
160	2	1112183	2	68	1	2	1
