order	cond	time	button	rt	correct	block	counterbalance
1	0	9671	2	530	1	1	1
2	2	16204	1	377	1	1	1
3	2	22588	1	311	1	1	1
4	0	28904	2	344	1	1	1
5	2	35254	1	262	1	1	1
6	1	41521	2	313	1	1	1
7	0	47838	2	313	1	1	1
8	0	54155	2	378	1	1	1
9	2	60538	1	327	1	1	1
10	2	66871	1	343	1	1	1
11	2	73221	1	358	1	1	1
12	0	79588	2	325	1	1	1
13	2	85921	1	292	1	1	1
14	0	92221	2	310	1	1	1
15	2	98538	1	310	1	1	1
16	2	104855	1	278	1	1	1
17	2	111138	1	200	1	1	1
18	0	117338	2	349	1	1	1
19	1	123688	2	348	1	1	1
20	2	130038	1	267	1	1	1
21	1	136305	2	301	1	1	1
22	0	142622	2	334	1	1	1
23	2	148955	1	286	1	1	1
24	2	155255	1	335	1	1	1
25	1	161605	2	318	1	1	1
26	1	167922	2	270	1	1	1
27	0	174205	2	304	1	1	1
28	1	180522	2	240	1	1	1
29	1	186772	1	244	0	1	1
30	2	195005	1	246	1	1	1
31	0	201255	2	265	1	1	1
32	1	207522	2	284	1	1	1
33	2	213805	1	270	1	1	1
34	0	220089	2	287	1	1	1
35	0	226389	2	257	1	1	1
36	2	232655	1	275	1	1	1
37	2	238939	1	293	1	1	1
38	0	245239	2	246	1	1	1
39	2	251489	1	297	1	1	1
40	2	257789	1	314	1	1	1
41	2	271789	1	291	1	1	1
42	2	278089	1	293	1	1	1
43	2	284389	1	278	1	1	1
44	0	290672	2	279	1	1	1
45	2	296956	1	281	1	1	1
46	2	303239	1	475	1	1	1
47	2	309722	1	484	1	1	1
48	2	316222	1	414	1	1	1
49	2	322639	1	298	1	1	1
50	2	328939	1	315	1	1	1
51	2	335256	1	220	1	1	1
52	0	341489	2	272	1	1	1
53	1	347773	2	289	1	1	1
54	0	354073	2	274	1	1	1
55	0	360356	2	276	1	1	1
56	2	366639	1	278	1	1	1
57	2	372923	1	247	1	1	1
58	2	379173	2	315	0	1	1
59	0	387473	2	266	1	1	1
60	2	393739	1	253	1	1	1
61	2	400006	1	159	1	1	1
62	2	406173	1	278	1	1	1
63	2	412456	1	375	1	1	1
64	1	418840	2	390	1	1	1
65	2	425240	1	35	1	1	1
66	2	431290	1	222	1	1	1
67	2	437523	1	273	1	1	1
68	1	443806	1	99	0	1	1
69	2	451890	1	316	1	1	1
70	2	458206	1	349	1	1	1
71	2	464556	1	380	1	1	1
72	0	470940	2	298	1	1	1
73	2	477240	2	299	0	1	1
74	0	485523	2	268	1	1	1
75	0	491807	2	285	1	1	1
76	1	498107	2	287	1	1	1
77	1	504407	2	304	1	1	1
78	2	510723	1	289	1	1	1
79	2	517023	1	226	1	1	1
80	0	523257	2	293	1	1	1
81	2	534857	1	320	1	1	1
82	2	541190	1	512	1	1	1
83	1	547707	2	312	1	1	1
84	1	554057	1	264	0	1	1
85	2	562357	1	312	1	1	1
86	2	568707	2	247	0	1	1
87	1	576990	2	280	1	1	1
88	2	583307	1	216	1	1	1
89	2	589574	1	267	1	1	1
90	2	595890	1	267	1	1	1
91	0	602207	2	251	1	1	1
92	1	608507	2	236	1	1	1
93	0	614790	2	255	1	1	1
94	0	621090	2	271	1	1	1
95	2	627407	1	272	1	1	1
96	1	633724	2	304	1	1	1
97	2	638874	1	304	1	1	1
98	0	645724	2	219	1	1	1
99	1	651991	2	285	1	1	1
100	2	658324	1	285	1	1	1
101	2	664657	1	189	1	1	1
102	0	670891	2	305	1	1	1
103	1	677241	2	288	1	1	1
104	1	683574	2	288	1	1	1
105	2	689907	1	271	1	1	1
106	1	696224	2	272	1	1	1
107	2	702541	1	16	1	1	1
108	2	708608	1	27	1	1	1
109	2	714674	2	261	0	1	1
110	2	722974	1	246	1	1	1
111	2	729258	1	263	1	1	1
112	0	735558	2	313	1	1	1
113	1	741908	2	264	1	1	1
114	2	748208	1	201	1	1	1
115	2	754458	1	300	1	1	1
116	1	760808	2	219	1	1	1
117	1	767074	2	413	1	1	1
118	2	773525	1	409	1	1	1
119	0	779975	2	307	1	1	1
120	0	786325	2	291	1	1	1
121	2	797875	1	223	1	1	1
122	1	804141	2	274	1	1	1
123	1	810458	2	258	1	1	1
124	0	816758	2	307	1	1	1
125	2	823108	1	290	1	1	1
126	1	829441	2	290	1	1	1
127	1	835775	2	290	1	1	1
128	2	842108	2	289	0	1	1
129	1	850442	2	496	1	1	1
130	0	856975	2	296	1	1	1
131	1	863308	2	296	1	1	1
132	2	869642	1	327	1	1	1
133	2	876008	1	326	1	1	1
134	0	882375	2	260	1	1	1
135	2	888675	1	245	1	1	1
136	1	894958	2	343	1	1	1
137	1	901342	2	405	1	1	1
138	1	907792	1	256	0	1	1
139	0	916092	2	304	1	1	1
140	0	922442	2	319	1	1	1
141	2	928809	1	286	1	1	1
142	2	935142	1	301	1	1	1
143	0	941492	2	301	1	1	1
144	2	947842	1	332	1	1	1
145	2	954225	1	265	1	1	1
146	1	960542	2	234	1	1	1
147	2	966825	1	396	1	1	1
148	0	973259	2	231	1	1	1
149	2	979542	1	297	1	1	1
150	0	985875	2	265	1	1	1
151	2	992192	1	57	1	1	1
152	0	998292	2	307	1	1	1
153	1	1004642	2	274	1	1	1
154	0	1010959	2	226	1	1	1
155	1	1017226	2	293	1	1	1
156	2	1023559	1	165	1	1	1
157	1	1029776	2	297	1	1	1
158	1	1036109	2	281	1	1	1
159	2	1042442	1	520	1	1	1
160	1	1049009	2	351	1	1	1
