order	cond	time	button	rt	correct	block	counterbalance
1	2	8349	1	369	1	2	2
2	2	15199	1	1066	1	2	2
3	2	22266	1	347	1	2	2
4	1	28616	2	569	1	2	2
5	2	33999	1	686	1	2	2
6	2	39983	1	394	1	2	2
7	1	46866	2	1122	1	2	2
8	2	53983	1	625	1	2	2
9	1	60616	2	403	1	2	2
10	2	65833	2	207	0	2	2
11	0	74516	2	1788	1	2	2
12	2	82316	1	496	1	2	2
13	2	87633	3	1031	2	2	2
14	2	97133	1	422	1	2	2
15	1	103566	2	3246	1	2	2
16	0	112816	2	663	1	2	2
17	2	119483	1	1160	1	2	2
18	2	126649	1	421	1	2	2
19	1	133066	2	432	1	2	2
20	1	139499	2	1114	1	2	2
21	2	146616	1	5957	1	2	2
22	2	158583	1	418	1	2	2
23	0	164999	2	1133	1	2	2
24	2	172133	1	475	1	2	2
25	1	178616	2	355	1	2	2
26	1	184983	2	128	1	2	2
27	0	191116	2	3237	1	2	2
28	1	200350	2	559	1	2	2
29	2	206916	1	1667	1	2	2
30	0	214583	2	284	1	2	2
31	2	219683	1	348	1	2	2
32	1	225333	2	615	1	2	2
33	1	232433	2	518	1	2	2
34	1	238950	2	573	1	2	2
35	0	245533	2	385	1	2	2
36	0	251916	2	397	1	2	2
37	1	258316	2	1112	1	2	2
38	0	265433	2	839	1	2	2
39	0	272283	2	944	1	2	2
40	0	279233	2	2293	1	2	2
41	0	290566	2	585	1	2	2
42	2	297150	1	1149	1	2	2
43	1	304300	2	1721	1	2	2
44	2	312033	1	479	1	2	2
45	2	318516	1	472	1	2	2
46	0	325000	2	528	1	2	2
47	2	331533	1	3125	1	2	2
48	0	340666	2	403	1	2	2
49	2	347066	1	431	1	2	2
50	2	353500	1	1064	1	2	2
51	2	360566	1	713	1	2	2
52	0	367283	2	1496	1	2	2
53	2	374783	1	1622	1	2	2
54	1	382416	1	577	0	2	2
55	2	390983	2	916	0	2	2
56	2	399883	1	298	1	2	2
57	2	406183	2	458	0	2	2
58	1	414633	2	914	1	2	2
59	0	421550	2	505	1	2	2
60	2	428067	1	512	1	2	2
61	2	434583	1	743	1	2	2
62	0	441333	2	3298	1	2	2
63	2	450633	2	3592	0	2	2
64	0	462217	2	499	1	2	2
65	1	468717	2	570	1	2	2
66	1	475283	1	495	0	2	2
67	2	483767	1	150	1	2	2
68	0	489917	2	524	1	2	2
69	1	496450	2	1937	1	2	2
70	2	504383	1	528	1	2	2
71	2	510917	1	422	1	2	2
72	1	517350	2	1951	1	2	2
73	0	525300	2	1196	1	2	2
74	1	532500	2	903	1	2	2
75	0	539400	2	335	1	2	2
76	2	544550	3	685	2	2	2
77	2	553700	1	505	1	2	2
