order	cond	time	button	rt	correct	block	counterbalance
1	2	55850	2	855	1	1	2
2	1	62750	1	623	1	1	2
3	1	69416	1	656	1	1	2
4	2	76116	2	592	1	1	2
5	1	82750	1	627	1	1	2
6	2	89416	2	628	1	1	2
7	0	96083	2	694	1	1	2
8	1	102816	1	581	1	1	2
9	0	109450	2	823	1	1	2
10	1	116316	1	625	1	1	2
11	1	122983	1	802	1	1	2
12	0	129833	2	636	1	1	2
13	1	136517	1	621	1	1	2
14	0	143183	2	894	1	1	2
15	0	150117	2	628	1	1	2
16	1	156783	1	598	1	1	2
17	2	163433	2	792	1	1	2
18	0	170267	2	435	1	1	2
19	0	176750	2	539	1	1	2
20	2	183333	2	912	1	1	2
21	0	190283	2	614	1	1	2
22	1	196933	1	392	1	1	2
23	1	203367	2	403	0	1	2
24	1	210617	2	1068	0	1	2
25	1	220234	1	582	1	1	2
26	0	226867	2	649	1	1	2
27	1	233567	1	1353	1	1	2
28	2	240967	2	525	1	1	2
29	1	247534	1	738	1	1	2
30	1	254317	1	655	1	1	2
31	1	261017	1	703	1	1	2
32	0	267767	2	765	1	1	2
33	1	274584	1	568	1	1	2
34	2	280000	2	236	1	1	2
35	0	286784	2	617	1	1	2
36	2	293451	2	666	1	1	2
37	2	300167	2	554	1	1	2
38	2	306767	2	30	1	1	2
39	2	312834	1	840	0	1	2
40	1	321717	2	671	0	1	2
41	1	345001	1	702	1	1	2
42	0	351751	2	685	1	1	2
43	1	358484	1	587	1	1	2
44	2	365117	2	606	1	1	2
45	1	371768	1	464	1	1	2
46	2	378284	2	1319	1	1	2
47	0	385651	2	812	1	1	2
48	1	392501	1	631	1	1	2
49	1	399184	1	599	1	1	2
50	1	405834	2	570	0	1	2
51	2	414451	2	396	1	1	2
52	1	420884	1	663	1	1	2
53	0	427584	2	647	1	1	2
54	1	434268	1	600	1	1	2
55	2	440918	2	442	1	1	2
56	1	447401	1	706	1	1	2
57	0	454151	2	688	1	1	2
58	0	460868	2	720	1	1	2
59	2	467585	2	1087	1	1	2
60	1	474668	1	752	1	1	2
61	1	481435	1	637	1	1	2
62	1	488068	1	464	1	1	2
63	0	494535	2	553	1	1	2
64	1	501085	1	623	1	1	2
65	2	507701	2	419	1	1	2
66	2	514118	2	447	1	1	2
67	1	520568	1	601	1	1	2
68	0	527168	2	589	1	1	2
69	1	533751	1	594	1	1	2
70	1	540352	1	438	1	1	2
71	2	546785	2	384	1	1	2
72	0	553168	2	781	1	1	2
73	1	559952	1	666	1	1	2
74	2	565435	2	732	1	1	2
75	2	572652	2	663	1	1	2
76	1	579318	1	728	1	1	2
77	1	586052	1	503	1	1	2
78	0	592552	2	799	1	1	2
79	1	599352	1	619	1	1	2
80	1	605968	1	639	1	1	2
81	0	628185	2	601	1	1	2
82	1	634785	2	813	0	1	2
83	1	643585	1	456	1	1	2
84	1	650035	1	450	1	1	2
85	2	656485	2	620	1	1	2
86	1	663102	1	655	1	1	2
87	0	669752	2	610	1	1	2
88	1	676369	1	645	1	1	2
89	0	683019	2	1143	1	1	2
90	1	690169	1	869	1	1	2
91	1	697035	1	702	1	1	2
92	1	703735	1	478	1	1	2
93	1	710219	1	1095	1	1	2
94	0	717319	2	455	1	1	2
95	0	723769	2	641	1	1	2
96	1	730419	1	627	1	1	2
97	2	737052	2	630	1	1	2
98	1	743686	1	489	1	1	2
99	2	750169	1	1073	0	1	2
100	1	759236	1	818	1	1	2
101	1	766052	2	701	0	1	2
102	1	774736	1	573	1	1	2
103	0	781302	2	1218	1	1	2
104	1	788519	2	365	0	1	2
105	0	796869	2	1258	1	1	2
106	1	804136	1	707	1	1	2
107	1	810853	1	1362	1	1	2
108	1	818219	1	775	1	1	2
109	1	825003	1	916	1	1	2
110	2	831919	2	715	1	1	2
111	0	838636	2	699	1	1	2
112	2	845336	2	379	1	1	2
113	1	851719	2	728	0	1	2
114	0	860436	2	790	1	1	2
115	1	867236	1	450	1	1	2
116	1	873686	1	716	1	1	2
117	1	880403	1	731	1	1	2
118	0	887136	2	602	1	1	2
119	2	893736	2	622	1	1	2
120	2	900353	2	657	1	1	2
121	2	926453	1	654	0	1	2
122	0	935086	2	1119	1	1	2
123	0	942203	2	735	1	1	2
124	1	948936	1	813	1	1	2
125	2	955753	2	825	1	1	2
126	1	962586	1	788	1	1	2
127	0	969370	2	561	1	1	2
128	2	975937	2	758	1	1	2
129	1	982703	1	627	1	1	2
130	1	989337	1	582	1	1	2
131	1	995920	1	507	1	1	2
132	0	1002437	2	626	1	1	2
133	0	1009070	2	773	1	1	2
134	0	1015853	2	1218	1	1	2
135	0	1023070	2	909	1	1	2
136	1	1029987	1	677	1	1	2
137	2	1036670	2	582	1	1	2
138	1	1043253	1	874	1	1	2
139	2	1050137	2	1235	1	1	2
140	2	1057370	2	94	1	1	2
141	1	1063470	2	1397	0	1	2
142	2	1072854	2	1449	1	1	2
143	0	1080304	2	794	1	1	2
144	1	1087104	1	631	1	1	2
145	1	1093737	1	761	1	1	2
146	1	1100504	1	439	1	1	2
147	1	1106954	1	561	1	1	2
148	1	1113520	1	583	1	1	2
149	1	1120104	1	971	1	1	2
150	0	1127070	2	801	1	1	2
151	1	1133870	1	669	1	1	2
152	2	1140537	2	990	1	1	2
153	1	1147537	2	770	0	1	2
154	2	1156287	1	735	0	1	2
155	2	1165004	2	621	1	1	2
156	1	1171621	1	2416	1	1	2
157	1	1180037	1	651	1	1	2
158	2	1185504	2	1165	1	1	2
159	0	1193154	2	1031	1	1	2
160	2	1200187	2	505	1	1	2
